State/Country,Year,Category of occupation,Code Version, Employed Person ('000) 
Perak,2010,Craft and related trade workers   ,MASCO 1998,114.6
Perlis,2010,Craft and related trade workers   ,MASCO 1998,8.9
Selangor,2010,Craft and related trade workers   ,MASCO 1998,149.4
Terengganu,2010,Craft and related trade workers   ,MASCO 1998,66.1
Sabah,2010,Craft and related trade workers   ,MASCO 1998,118.9
Sarawak,2010,Craft and related trade workers   ,MASCO 1998,130.0
W.P. Kuala Lumpur,2010,Craft and related trade workers   ,MASCO 1998,55.3
W.P Labuan,2010,Craft and related trade workers   ,MASCO 1998,5.2
W.P.Putrajaya,2010,Craft and related trade workers   ,MASCO 1998,
Malaysia,2010,Plant and machine-operators and assemblers,MASCO 1998,"1,502.8"
Johor,2010,Plant and machine-operators and assemblers,MASCO 1998,272.6
Kedah,2010,Plant and machine-operators and assemblers,MASCO 1998,108.4
Kelantan,2010,Plant and machine-operators and assemblers,MASCO 1998,36.0
Melaka,2010,Plant and machine-operators and assemblers,MASCO 1998,55.7
Negeri Sembilan,2010,Plant and machine-operators and assemblers,MASCO 1998,51.4
Pahang,2010,Plant and machine-operators and assemblers,MASCO 1998,51.7
Pulau Pinang,2010,Plant and machine-operators and assemblers,MASCO 1998,145.1
Perak,2010,Plant and machine-operators and assemblers,MASCO 1998,111.6
Perlis,2010,Plant and machine-operators and assemblers,MASCO 1998,6.6
Selangor,2010,Plant and machine-operators and assemblers,MASCO 1998,336.3
Terengganu,2010,Plant and machine-operators and assemblers,MASCO 1998,30.8
Sabah,2010,Plant and machine-operators and assemblers,MASCO 1998,130.0
Sarawak,2010,Plant and machine-operators and assemblers,MASCO 1998,112.3
W.P. Kuala Lumpur,2010,Plant and machine-operators and assemblers,MASCO 1998,51.4
W.P Labuan,2010,Plant and machine-operators and assemblers,MASCO 1998,3.0
W.P.Putrajaya,2010,Plant and machine-operators and assemblers,MASCO 1998,
Malaysia,2010,Elementary occupations  ,MASCO 1998,"1,353.7"
Johor,2010,Elementary occupations  ,MASCO 1998,126.1
Kedah,2010,Elementary occupations  ,MASCO 1998,92.1
Kelantan,2010,Elementary occupations  ,MASCO 1998,72.8
Melaka,2010,Elementary occupations  ,MASCO 1998,31.6
Negeri Sembilan,2010,Elementary occupations  ,MASCO 1998,43.1
Pahang,2010,Elementary occupations  ,MASCO 1998,65.7
Pulau Pinang,2010,Elementary occupations  ,MASCO 1998,82.2
Perak,2010,Elementary occupations  ,MASCO 1998,89.7
Perlis,2010,Elementary occupations  ,MASCO 1998,10.2
Selangor,2010,Elementary occupations  ,MASCO 1998,300.9
Terengganu,2010,Elementary occupations  ,MASCO 1998,48.6
Sabah,2010,Elementary occupations  ,MASCO 1998,182.2
Sarawak,2010,Elementary occupations  ,MASCO 1998,114.8
W.P. Kuala Lumpur,2010,Elementary occupations  ,MASCO 1998,89.8
W.P Labuan,2010,Elementary occupations  ,MASCO 1998,4.1
W.P.Putrajaya,2010,Elementary occupations  ,MASCO 1998,
Malaysia,2009,Total,MASCO 1998,"10,897.3"
Johor,2009,Total,MASCO 1998,"1,306.3"
Kedah,2009,Total,MASCO 1998,701.5
Kelantan,2009,Total,MASCO 1998,505.2
Melaka,2009,Total,MASCO 1998,284.0
Negeri Sembilan,2009,Total,MASCO 1998,386.5
Pahang,2009,Total,MASCO 1998,603.7
Pulau Pinang,2009,Total,MASCO 1998,689.8
Perak,2009,Total,MASCO 1998,891.6
Perlis,2009,Total,MASCO 1998,81.5
Selangor,2009,Total,MASCO 1998,"2,095.3"
Terengganu,2009,Total,MASCO 1998,390.3
Sabah,2009,Total,MASCO 1998,"1,270.6"
Sarawak,2009,Total,MASCO 1998,977.5
W.P. Kuala Lumpur,2009,Total,MASCO 1998,678.1
W.P Labuan,2009,Total,MASCO 1998,35.5
W.P.Putrajaya,2009,Total,MASCO 1998,
Malaysia,2009,"Legislators, senior officials and managers        ",MASCO 1998,822.9
Johor,2009,"Legislators, senior officials and managers        ",MASCO 1998,48.0
Kedah,2009,"Legislators, senior officials and managers        ",MASCO 1998,21.2
Kelantan,2009,"Legislators, senior officials and managers        ",MASCO 1998,8.7
Melaka,2009,"Legislators, senior officials and managers        ",MASCO 1998,8.7
Negeri Sembilan,2009,"Legislators, senior officials and managers        ",MASCO 1998,24.6
Pahang,2009,"Legislators, senior officials and managers        ",MASCO 1998,33.7
Pulau Pinang,2009,"Legislators, senior officials and managers        ",MASCO 1998,70.2
Perak,2009,"Legislators, senior officials and managers        ",MASCO 1998,64.3
Perlis,2009,"Legislators, senior officials and managers        ",MASCO 1998,4.4
Selangor,2009,"Legislators, senior officials and managers        ",MASCO 1998,285.1
Terengganu,2009,"Legislators, senior officials and managers        ",MASCO 1998,15.6
Sabah,2009,"Legislators, senior officials and managers        ",MASCO 1998,68.4
Sarawak,2009,"Legislators, senior officials and managers        ",MASCO 1998,57.8
W.P. Kuala Lumpur,2009,"Legislators, senior officials and managers        ",MASCO 1998,103.4
W.P Labuan,2009,"Legislators, senior officials and managers        ",MASCO 1998,2.5
W.P.Putrajaya,2009,"Legislators, senior officials and managers        ",MASCO 1998,
Malaysia,2009,Professionals,MASCO 1998,684.6
Johor,2009,Professionals,MASCO 1998,65.7
Kedah,2009,Professionals,MASCO 1998,30.3
Kelantan,2009,Professionals,MASCO 1998,22.4
Melaka,2009,Professionals,MASCO 1998,18.6
Negeri Sembilan,2009,Professionals,MASCO 1998,21.2
Pahang,2009,Professionals,MASCO 1998,25.8
Pulau Pinang,2009,Professionals,MASCO 1998,43.9
Perak,2009,Professionals,MASCO 1998,38.3
Perlis,2009,Professionals,MASCO 1998,5.5
Selangor,2009,Professionals,MASCO 1998,218.2
Terengganu,2009,Professionals,MASCO 1998,18.8
Sabah,2009,Professionals,MASCO 1998,49.4
Sarawak,2009,Professionals,MASCO 1998,44.9
W.P. Kuala Lumpur,2009,Professionals,MASCO 1998,79.5
W.P Labuan,2009,Professionals,MASCO 1998,1.9
W.P.Putrajaya,2009,Professionals,MASCO 1998,
Malaysia,2009,Technicians and associate professionals  ,MASCO 1998,"1,560.0"
Johor,2009,Technicians and associate professionals  ,MASCO 1998,197.4
Kedah,2009,Technicians and associate professionals  ,MASCO 1998,98.5
Kelantan,2009,Technicians and associate professionals  ,MASCO 1998,58.5
Melaka,2009,Technicians and associate professionals  ,MASCO 1998,47.0
Negeri Sembilan,2009,Technicians and associate professionals  ,MASCO 1998,60.6
Pahang,2009,Technicians and associate professionals  ,MASCO 1998,82.5
Pulau Pinang,2009,Technicians and associate professionals  ,MASCO 1998,106.8
Perak,2009,Technicians and associate professionals  ,MASCO 1998,113.2
Perlis,2009,Technicians and associate professionals  ,MASCO 1998,10.0
Selangor,2009,Technicians and associate professionals  ,MASCO 1998,377.1
Terengganu,2009,Technicians and associate professionals  ,MASCO 1998,53.0
Sabah,2009,Technicians and associate professionals  ,MASCO 1998,123.5
Sarawak,2009,Technicians and associate professionals  ,MASCO 1998,115.6
W.P. Kuala Lumpur,2009,Technicians and associate professionals  ,MASCO 1998,111.0
W.P Labuan,2009,Technicians and associate professionals  ,MASCO 1998,5.5
W.P.Putrajaya,2009,Technicians and associate professionals  ,MASCO 1998,
Malaysia,2009,Clerical workers  ,MASCO 1998,"1,086.6"
Johor,2009,Clerical workers  ,MASCO 1998,129.3
Kedah,2009,Clerical workers  ,MASCO 1998,55.0
Kelantan,2009,Clerical workers  ,MASCO 1998,27.2
Melaka,2009,Clerical workers  ,MASCO 1998,31.6
Negeri Sembilan,2009,Clerical workers  ,MASCO 1998,37.6
Pahang,2009,Clerical workers  ,MASCO 1998,49.8
Pulau Pinang,2009,Clerical workers  ,MASCO 1998,79.6
Perak,2009,Clerical workers  ,MASCO 1998,77.3
Perlis,2009,Clerical workers  ,MASCO 1998,6.3
Selangor,2009,Clerical workers  ,MASCO 1998,285.1
Terengganu,2009,Clerical workers  ,MASCO 1998,25.7
Sabah,2009,Clerical workers  ,MASCO 1998,102.5
Sarawak,2009,Clerical workers  ,MASCO 1998,84.7
W.P. Kuala Lumpur,2009,Clerical workers  ,MASCO 1998,90.1
W.P Labuan,2009,Clerical workers  ,MASCO 1998,4.8
W.P.Putrajaya,2009,Clerical workers  ,MASCO 1998,
Malaysia,2009,Service workers and shop and market sales workers,MASCO 1998,"1,869.1"
Johor,2009,Service workers and shop and market sales workers,MASCO 1998,252.2
Kedah,2009,Service workers and shop and market sales workers,MASCO 1998,138.7
Kelantan,2009,Service workers and shop and market sales workers,MASCO 1998,117.0
Melaka,2009,Service workers and shop and market sales workers,MASCO 1998,63.9
Negeri Sembilan,2009,Service workers and shop and market sales workers,MASCO 1998,76.0
Pahang,2009,Service workers and shop and market sales workers,MASCO 1998,99.4
Pulau Pinang,2009,Service workers and shop and market sales workers,MASCO 1998,107.9
Perak,2009,Service workers and shop and market sales workers,MASCO 1998,178.9
Perlis,2009,Service workers and shop and market sales workers,MASCO 1998,17.6
Selangor,2009,Service workers and shop and market sales workers,MASCO 1998,296.9
Terengganu,2009,Service workers and shop and market sales workers,MASCO 1998,73.3
Sabah,2009,Service workers and shop and market sales workers,MASCO 1998,182.9
Sarawak,2009,Service workers and shop and market sales workers,MASCO 1998,125.4
W.P. Kuala Lumpur,2009,Service workers and shop and market sales workers,MASCO 1998,133.4
W.P Labuan,2009,Service workers and shop and market sales workers,MASCO 1998,5.6
W.P.Putrajaya,2009,Service workers and shop and market sales workers,MASCO 1998,
Malaysia,2009,Skilled agricultural and fishery workers    ,MASCO 1998,"1,255.7"
Johor,2009,Skilled agricultural and fishery workers    ,MASCO 1998,98.1
Kedah,2009,Skilled agricultural and fishery workers    ,MASCO 1998,100.3
Kelantan,2009,Skilled agricultural and fishery workers    ,MASCO 1998,85.5
Melaka,2009,Skilled agricultural and fishery workers    ,MASCO 1998,10.9
Negeri Sembilan,2009,Skilled agricultural and fishery workers    ,MASCO 1998,41.4
Pahang,2009,Skilled agricultural and fishery workers    ,MASCO 1998,133.2
Pulau Pinang,2009,Skilled agricultural and fishery workers    ,MASCO 1998,14.0
Perak,2009,Skilled agricultural and fishery workers    ,MASCO 1998,103.5
Perlis,2009,Skilled agricultural and fishery workers    ,MASCO 1998,9.4
Selangor,2009,Skilled agricultural and fishery workers    ,MASCO 1998,34.4
Terengganu,2009,Skilled agricultural and fishery workers    ,MASCO 1998,44.7
Sabah,2009,Skilled agricultural and fishery workers    ,MASCO 1998,339.2
Sarawak,2009,Skilled agricultural and fishery workers    ,MASCO 1998,240.3
W.P. Kuala Lumpur,2009,Skilled agricultural and fishery workers    ,MASCO 1998,0.1
W.P Labuan,2009,Skilled agricultural and fishery workers    ,MASCO 1998,0.9
W.P.Putrajaya,2009,Skilled agricultural and fishery workers    ,MASCO 1998,
Malaysia,2009,Craft and related trade workers   ,MASCO 1998,"1,132.9"
Johor,2009,Craft and related trade workers   ,MASCO 1998,159.3
Kedah,2009,Craft and related trade workers   ,MASCO 1998,73.6
Kelantan,2009,Craft and related trade workers   ,MASCO 1998,79.8
Melaka,2009,Craft and related trade workers   ,MASCO 1998,28.9
Negeri Sembilan,2009,Craft and related trade workers   ,MASCO 1998,37.3
Pahang,2009,Craft and related trade workers   ,MASCO 1998,64.3
Pulau Pinang,2009,Craft and related trade workers   ,MASCO 1998,66.8
Perak,2009,Craft and related trade workers   ,MASCO 1998,105.7
Perlis,2009,Craft and related trade workers   ,MASCO 1998,10.1
Selangor,2009,Craft and related trade workers   ,MASCO 1998,143.0
Terengganu,2009,Craft and related trade workers   ,MASCO 1998,81.7
Sabah,2009,Craft and related trade workers   ,MASCO 1998,117.2
Sarawak,2009,Craft and related trade workers   ,MASCO 1998,112.2
W.P. Kuala Lumpur,2009,Craft and related trade workers   ,MASCO 1998,46.5
W.P Labuan,2009,Craft and related trade workers   ,MASCO 1998,6.5
W.P.Putrajaya,2009,Craft and related trade workers   ,MASCO 1998,
Malaysia,2009,Plant and machine-operators and assemblers,MASCO 1998,"1,242.7"
Johor,2009,Plant and machine-operators and assemblers,MASCO 1998,218.0
Kedah,2009,Plant and machine-operators and assemblers,MASCO 1998,99.3
Kelantan,2009,Plant and machine-operators and assemblers,MASCO 1998,32.4
Melaka,2009,Plant and machine-operators and assemblers,MASCO 1998,35.7
Negeri Sembilan,2009,Plant and machine-operators and assemblers,MASCO 1998,46.0
Pahang,2009,Plant and machine-operators and assemblers,MASCO 1998,56.6
Pulau Pinang,2009,Plant and machine-operators and assemblers,MASCO 1998,120.7
Perak,2009,Plant and machine-operators and assemblers,MASCO 1998,112.5
Perlis,2009,Plant and machine-operators and assemblers,MASCO 1998,7.4
Selangor,2009,Plant and machine-operators and assemblers,MASCO 1998,251.6
Terengganu,2009,Plant and machine-operators and assemblers,MASCO 1998,28.6
Sabah,2009,Plant and machine-operators and assemblers,MASCO 1998,109.7
Sarawak,2009,Plant and machine-operators and assemblers,MASCO 1998,81.7
W.P. Kuala Lumpur,2009,Plant and machine-operators and assemblers,MASCO 1998,40.1
W.P Labuan,2009,Plant and machine-operators and assemblers,MASCO 1998,2.3
W.P.Putrajaya,2009,Plant and machine-operators and assemblers,MASCO 1998,
Malaysia,2009,Elementary occupations  ,MASCO 1998,"1,242.8"
Johor,2009,Elementary occupations  ,MASCO 1998,138.2
Kedah,2009,Elementary occupations  ,MASCO 1998,84.7
Kelantan,2009,Elementary occupations  ,MASCO 1998,73.7
Melaka,2009,Elementary occupations  ,MASCO 1998,32.4
Negeri Sembilan,2009,Elementary occupations  ,MASCO 1998,41.8
Pahang,2009,Elementary occupations  ,MASCO 1998,58.3
Pulau Pinang,2009,Elementary occupations  ,MASCO 1998,80.0
Perak,2009,Elementary occupations  ,MASCO 1998,97.9
Perlis,2009,Elementary occupations  ,MASCO 1998,10.8
Selangor,2009,Elementary occupations  ,MASCO 1998,204.0
Terengganu,2009,Elementary occupations  ,MASCO 1998,48.9
Sabah,2009,Elementary occupations  ,MASCO 1998,177.8
Sarawak,2009,Elementary occupations  ,MASCO 1998,114.9
W.P. Kuala Lumpur,2009,Elementary occupations  ,MASCO 1998,73.9
W.P Labuan,2009,Elementary occupations  ,MASCO 1998,5.4
W.P.Putrajaya,2009,Elementary occupations  ,MASCO 1998,
Malaysia,2008,Total,MASCO 1998,"10,659.6"
Johor,2008,Total,MASCO 1998,"1,283.8"
Kedah,2008,Total,MASCO 1998,676.0
Kelantan,2008,Total,MASCO 1998,486.4
Melaka,2008,Total,MASCO 1998,286.8
Negeri Sembilan,2008,Total,MASCO 1998,387.1
Pahang,2008,Total,MASCO 1998,589.8
Pulau Pinang,2008,Total,MASCO 1998,674.9
Perak,2008,Total,MASCO 1998,858.9
Perlis,2008,Total,MASCO 1998,81.5
Selangor,2008,Total,MASCO 1998,"2,092.0"
Terengganu,2008,Total,MASCO 1998,375.5
Sabah,2008,Total,MASCO 1998,"1,230.5"
Sarawak,2008,Total,MASCO 1998,921.7
W.P. Kuala Lumpur,2008,Total,MASCO 1998,682.2
W.P Labuan,2008,Total,MASCO 1998,32.5
W.P.Putrajaya,2008,Total,MASCO 1998,
Malaysia,2008,"Legislators, senior officials and managers        ",MASCO 1998,748.8
Johor,2008,"Legislators, senior officials and managers        ",MASCO 1998,41.1
Kedah,2008,"Legislators, senior officials and managers        ",MASCO 1998,20.9
Kelantan,2008,"Legislators, senior officials and managers        ",MASCO 1998,10.0
Melaka,2008,"Legislators, senior officials and managers        ",MASCO 1998,10.0
Negeri Sembilan,2008,"Legislators, senior officials and managers        ",MASCO 1998,23.1
Pahang,2008,"Legislators, senior officials and managers        ",MASCO 1998,35.9
Pulau Pinang,2008,"Legislators, senior officials and managers        ",MASCO 1998,57.3
Perak,2008,"Legislators, senior officials and managers        ",MASCO 1998,51.9
Perlis,2008,"Legislators, senior officials and managers        ",MASCO 1998,3.1
Selangor,2008,"Legislators, senior officials and managers        ",MASCO 1998,249.9
Terengganu,2008,"Legislators, senior officials and managers        ",MASCO 1998,16.5
Sabah,2008,"Legislators, senior officials and managers        ",MASCO 1998,65.2
Sarawak,2008,"Legislators, senior officials and managers        ",MASCO 1998,52.7
W.P. Kuala Lumpur,2008,"Legislators, senior officials and managers        ",MASCO 1998,99.0
W.P Labuan,2008,"Legislators, senior officials and managers        ",MASCO 1998,2.1
W.P.Putrajaya,2008,"Legislators, senior officials and managers        ",MASCO 1998,
Malaysia,2008,Professionals,MASCO 1998,613.7
Johor,2008,Professionals,MASCO 1998,49.2
Kedah,2008,Professionals,MASCO 1998,29.8
Kelantan,2008,Professionals,MASCO 1998,24.7
Melaka,2008,Professionals,MASCO 1998,17.2
Negeri Sembilan,2008,Professionals,MASCO 1998,21.2
Pahang,2008,Professionals,MASCO 1998,25.9
Pulau Pinang,2008,Professionals,MASCO 1998,43.8
Perak,2008,Professionals,MASCO 1998,33.7
Perlis,2008,Professionals,MASCO 1998,5.3
Selangor,2008,Professionals,MASCO 1998,195.9
Terengganu,2008,Professionals,MASCO 1998,17.3
Sabah,2008,Professionals,MASCO 1998,38.7
Sarawak,2008,Professionals,MASCO 1998,41.4
W.P. Kuala Lumpur,2008,Professionals,MASCO 1998,67.7
W.P Labuan,2008,Professionals,MASCO 1998,1.8
W.P.Putrajaya,2008,Professionals,MASCO 1998,
Malaysia,2008,Technicians and associate professionals  ,MASCO 1998,"1,496.4"
Johor,2008,Technicians and associate professionals  ,MASCO 1998,200.5
Kedah,2008,Technicians and associate professionals  ,MASCO 1998,93.2
Kelantan,2008,Technicians and associate professionals  ,MASCO 1998,53.2
Melaka,2008,Technicians and associate professionals  ,MASCO 1998,49.2
Negeri Sembilan,2008,Technicians and associate professionals  ,MASCO 1998,55.4
Pahang,2008,Technicians and associate professionals  ,MASCO 1998,72.5
Pulau Pinang,2008,Technicians and associate professionals  ,MASCO 1998,109.0
Perak,2008,Technicians and associate professionals  ,MASCO 1998,100.9
Perlis,2008,Technicians and associate professionals  ,MASCO 1998,9.8
Selangor,2008,Technicians and associate professionals  ,MASCO 1998,371.3
Terengganu,2008,Technicians and associate professionals  ,MASCO 1998,47.4
Sabah,2008,Technicians and associate professionals  ,MASCO 1998,114.1
Sarawak,2008,Technicians and associate professionals  ,MASCO 1998,101.7
W.P. Kuala Lumpur,2008,Technicians and associate professionals  ,MASCO 1998,112.9
W.P Labuan,2008,Technicians and associate professionals  ,MASCO 1998,5.2
W.P.Putrajaya,2008,Technicians and associate professionals  ,MASCO 1998,
Malaysia,2008,Clerical workers  ,MASCO 1998,"1,053.4"
Johor,2008,Clerical workers  ,MASCO 1998,132.9
Kedah,2008,Clerical workers  ,MASCO 1998,51.9
Kelantan,2008,Clerical workers  ,MASCO 1998,27.1
Melaka,2008,Clerical workers  ,MASCO 1998,27.0
Negeri Sembilan,2008,Clerical workers  ,MASCO 1998,38.2
Pahang,2008,Clerical workers  ,MASCO 1998,50.7
Pulau Pinang,2008,Clerical workers  ,MASCO 1998,75.2
Perak,2008,Clerical workers  ,MASCO 1998,68.1
Perlis,2008,Clerical workers  ,MASCO 1998,7.2
Selangor,2008,Clerical workers  ,MASCO 1998,269.0
Terengganu,2008,Clerical workers  ,MASCO 1998,26.1
Sabah,2008,Clerical workers  ,MASCO 1998,98.5
Sarawak,2008,Clerical workers  ,MASCO 1998,79.1
W.P. Kuala Lumpur,2008,Clerical workers  ,MASCO 1998,98.7
W.P Labuan,2008,Clerical workers  ,MASCO 1998,3.7
W.P.Putrajaya,2008,Clerical workers  ,MASCO 1998,
Malaysia,2008,Service workers and shop and market sales workers,MASCO 1998,"1,776.1"
Johor,2008,Service workers and shop and market sales workers,MASCO 1998,222.1
Kedah,2008,Service workers and shop and market sales workers,MASCO 1998,132.0
Kelantan,2008,Service workers and shop and market sales workers,MASCO 1998,111.3
Melaka,2008,Service workers and shop and market sales workers,MASCO 1998,61.6
Negeri Sembilan,2008,Service workers and shop and market sales workers,MASCO 1998,68.0
Pahang,2008,Service workers and shop and market sales workers,MASCO 1998,90.4
Pulau Pinang,2008,Service workers and shop and market sales workers,MASCO 1998,108.5
Perak,2008,Service workers and shop and market sales workers,MASCO 1998,162.8
Perlis,2008,Service workers and shop and market sales workers,MASCO 1998,19.4
Selangor,2008,Service workers and shop and market sales workers,MASCO 1998,298.8
Terengganu,2008,Service workers and shop and market sales workers,MASCO 1998,71.1
Sabah,2008,Service workers and shop and market sales workers,MASCO 1998,173.2
Sarawak,2008,Service workers and shop and market sales workers,MASCO 1998,121.4
W.P. Kuala Lumpur,2008,Service workers and shop and market sales workers,MASCO 1998,130.3
W.P Labuan,2008,Service workers and shop and market sales workers,MASCO 1998,5.0
W.P.Putrajaya,2008,Service workers and shop and market sales workers,MASCO 1998,
Malaysia,2008,Skilled agricultural and fishery workers    ,MASCO 1998,"1,271.3"
Johor,2008,Skilled agricultural and fishery workers    ,MASCO 1998,115.6
Kedah,2008,Skilled agricultural and fishery workers    ,MASCO 1998,103.1
Kelantan,2008,Skilled agricultural and fishery workers    ,MASCO 1998,94.5
Melaka,2008,Skilled agricultural and fishery workers    ,MASCO 1998,12.2
Negeri Sembilan,2008,Skilled agricultural and fishery workers    ,MASCO 1998,46.2
Pahang,2008,Skilled agricultural and fishery workers    ,MASCO 1998,120.3
Pulau Pinang,2008,Skilled agricultural and fishery workers    ,MASCO 1998,13.9
Perak,2008,Skilled agricultural and fishery workers    ,MASCO 1998,110.6
Perlis,2008,Skilled agricultural and fishery workers    ,MASCO 1998,10.0
Selangor,2008,Skilled agricultural and fishery workers    ,MASCO 1998,31.3
Terengganu,2008,Skilled agricultural and fishery workers    ,MASCO 1998,50.4
Sabah,2008,Skilled agricultural and fishery workers    ,MASCO 1998,338.8
Sarawak,2008,Skilled agricultural and fishery workers    ,MASCO 1998,223.2
W.P. Kuala Lumpur,2008,Skilled agricultural and fishery workers    ,MASCO 1998,
W.P Labuan,2008,Skilled agricultural and fishery workers    ,MASCO 1998,1.0
W.P.Putrajaya,2008,Skilled agricultural and fishery workers    ,MASCO 1998,
Malaysia,2008,Craft and related trade workers   ,MASCO 1998,"1,153.8"
Johor,2008,Craft and related trade workers   ,MASCO 1998,173.0
Kedah,2008,Craft and related trade workers   ,MASCO 1998,74.4
Kelantan,2008,Craft and related trade workers   ,MASCO 1998,71.2
Melaka,2008,Craft and related trade workers   ,MASCO 1998,25.7
Negeri Sembilan,2008,Craft and related trade workers   ,MASCO 1998,42.1
Pahang,2008,Craft and related trade workers   ,MASCO 1998,64.0
Pulau Pinang,2008,Craft and related trade workers   ,MASCO 1998,67.2
Perak,2008,Craft and related trade workers   ,MASCO 1998,110.9
Perlis,2008,Craft and related trade workers   ,MASCO 1998,7.9
Selangor,2008,Craft and related trade workers   ,MASCO 1998,154.4
Terengganu,2008,Craft and related trade workers   ,MASCO 1998,78.5
Sabah,2008,Craft and related trade workers   ,MASCO 1998,115.0
Sarawak,2008,Craft and related trade workers   ,MASCO 1998,113.0
W.P. Kuala Lumpur,2008,Craft and related trade workers   ,MASCO 1998,51.8
W.P Labuan,2008,Craft and related trade workers   ,MASCO 1998,4.7
W.P.Putrajaya,2008,Craft and related trade workers   ,MASCO 1998,
Malaysia,2008,Plant and machine-operators and assemblers,MASCO 1998,"1,344.1"
Johor,2008,Plant and machine-operators and assemblers,MASCO 1998,220.2
Kedah,2008,Plant and machine-operators and assemblers,MASCO 1998,101.7
Kelantan,2008,Plant and machine-operators and assemblers,MASCO 1998,32.3
Melaka,2008,Plant and machine-operators and assemblers,MASCO 1998,40.6
Negeri Sembilan,2008,Plant and machine-operators and assemblers,MASCO 1998,52.3
Pahang,2008,Plant and machine-operators and assemblers,MASCO 1998,61.1
Pulau Pinang,2008,Plant and machine-operators and assemblers,MASCO 1998,128.5
Perak,2008,Plant and machine-operators and assemblers,MASCO 1998,109.2
Perlis,2008,Plant and machine-operators and assemblers,MASCO 1998,8.2
Selangor,2008,Plant and machine-operators and assemblers,MASCO 1998,305.1
Terengganu,2008,Plant and machine-operators and assemblers,MASCO 1998,28.4
Sabah,2008,Plant and machine-operators and assemblers,MASCO 1998,116.7
Sarawak,2008,Plant and machine-operators and assemblers,MASCO 1998,91.0
W.P. Kuala Lumpur,2008,Plant and machine-operators and assemblers,MASCO 1998,46.1
W.P Labuan,2008,Plant and machine-operators and assemblers,MASCO 1998,2.6
W.P.Putrajaya,2008,Plant and machine-operators and assemblers,MASCO 1998,
Malaysia,2008,Elementary occupations  ,MASCO 1998,"1,202.0"
Johor,2008,Elementary occupations  ,MASCO 1998,129.2
Kedah,2008,Elementary occupations  ,MASCO 1998,69.0
Kelantan,2008,Elementary occupations  ,MASCO 1998,62.1
Melaka,2008,Elementary occupations  ,MASCO 1998,32.9
Negeri Sembilan,2008,Elementary occupations  ,MASCO 1998,40.4
Pahang,2008,Elementary occupations  ,MASCO 1998,68.9
Pulau Pinang,2008,Elementary occupations  ,MASCO 1998,71.5
Perak,2008,Elementary occupations  ,MASCO 1998,110.9
Perlis,2008,Elementary occupations  ,MASCO 1998,10.6
Selangor,2008,Elementary occupations  ,MASCO 1998,216.3
Terengganu,2008,Elementary occupations  ,MASCO 1998,39.8
Sabah,2008,Elementary occupations  ,MASCO 1998,170.3
Sarawak,2008,Elementary occupations  ,MASCO 1998,98.2
W.P. Kuala Lumpur,2008,Elementary occupations  ,MASCO 1998,75.6
W.P Labuan,2008,Elementary occupations  ,MASCO 1998,6.4
W.P.Putrajaya,2008,Elementary occupations  ,MASCO 1998,
Malaysia,2007,Total,MASCO 1998,"10,538.1"
Johor,2007,Total,MASCO 1998,"1,286.7"
Kedah,2007,Total,MASCO 1998,670.4
Kelantan,2007,Total,MASCO 1998,473.1
Melaka,2007,Total,MASCO 1998,284.3
Negeri Sembilan,2007,Total,MASCO 1998,381.6
Pahang,2007,Total,MASCO 1998,561.9
Pulau Pinang,2007,Total,MASCO 1998,653.5
Perak,2007,Total,MASCO 1998,852.2
Perlis,2007,Total,MASCO 1998,80.0
Selangor,2007,Total,MASCO 1998,"2,064.2"
Terengganu,2007,Total,MASCO 1998,363.0
Sabah,2007,Total,MASCO 1998,"1,198.6"
Sarawak,2007,Total,MASCO 1998,954.1
W.P. Kuala Lumpur,2007,Total,MASCO 1998,682.1
W.P Labuan,2007,Total,MASCO 1998,32.6
W.P.Putrajaya,2007,Total,MASCO 1998,
Malaysia,2007,"Legislators, senior officials and managers        ",MASCO 1998,770.4
Johor,2007,"Legislators, senior officials and managers        ",MASCO 1998,50.5
Kedah,2007,"Legislators, senior officials and managers        ",MASCO 1998,23.2
Kelantan,2007,"Legislators, senior officials and managers        ",MASCO 1998,13.7
Melaka,2007,"Legislators, senior officials and managers        ",MASCO 1998,13.7
Negeri Sembilan,2007,"Legislators, senior officials and managers        ",MASCO 1998,30.2
Pahang,2007,"Legislators, senior officials and managers        ",MASCO 1998,31.3
Pulau Pinang,2007,"Legislators, senior officials and managers        ",MASCO 1998,49.6
Perak,2007,"Legislators, senior officials and managers        ",MASCO 1998,57.2
Perlis,2007,"Legislators, senior officials and managers        ",MASCO 1998,3.5
Selangor,2007,"Legislators, senior officials and managers        ",MASCO 1998,270.9
Terengganu,2007,"Legislators, senior officials and managers        ",MASCO 1998,14.2
Sabah,2007,"Legislators, senior officials and managers        ",MASCO 1998,52.2
Sarawak,2007,"Legislators, senior officials and managers        ",MASCO 1998,50.7
W.P. Kuala Lumpur,2007,"Legislators, senior officials and managers        ",MASCO 1998,103.8
W.P Labuan,2007,"Legislators, senior officials and managers        ",MASCO 1998,1.7
W.P.Putrajaya,2007,"Legislators, senior officials and managers        ",MASCO 1998,
Malaysia,2007,Professionals,MASCO 1998,596.8
Johor,2007,Professionals,MASCO 1998,42.9
Kedah,2007,Professionals,MASCO 1998,23.9
Kelantan,2007,Professionals,MASCO 1998,20.5
Melaka,2007,Professionals,MASCO 1998,16.7
